,Province,Pollutant,Year,Value,Per Capita,By Capita
325,NS,NH3,1996,4890.83616761603,930826.5,0.005254294079096405
326,NS,CO,1996,280482.071687272,930826.5,0.3013258342851992
327,NS,SOX,1996,201050.946129221,930826.5,0.21599185898684772
328,NS,NOX,1996,86220.6044428591,930826.5,0.09262800795084701
329,NS,VOC,1996,69152.3170394947,930826.5,0.07429130674674034
330,QC,NH3,1996,68489.4994115454,7243693.0,0.00945505274885965
331,QC,CO,1996,2160860.58092404,7243693.0,0.2983092437688952
332,QC,SOX,1996,367929.851783652,7243693.0,0.05079313159512033
333,QC,NOX,1996,332898.888527481,7243693.0,0.04595706755207337
334,QC,VOC,1996,485340.908092912,7243693.0,0.06700186052789812
335,SK,NH3,1996,71305.1203470199,1018105.75,0.07003704708181827
336,SK,CO,1996,529501.9113524,1018105.75,0.520085375563786
337,SK,SOX,1996,134391.307239925,1018105.75,0.1320013242631475
338,SK,NOX,1996,181336.559223897,1018105.75,0.1781117130748913
339,SK,VOC,1996,239284.910435504,1018105.75,0.23502952462011337
340,NL,NH3,1996,1029.55631791277,560576.0,0.0018366043460882559
341,NL,CO,1996,163410.552403578,560576.0,0.2915047244326871
342,NL,SOX,1996,73539.1486857715,560576.0,0.13118497525004907
343,NL,NOX,1996,50847.5588821717,560576.0,0.09070591477725001
344,NL,VOC,1996,44302.8446168665,560576.0,0.07903093356987545
345,PE,NH3,1996,3526.71755822344,135542.75,0.026019226835986727
346,PE,CO,1996,49569.0641451638,135542.75,0.36570797143457545
347,PE,SOX,1996,3107.51216555965,135542.75,0.02292643587030402
348,PE,NOX,1996,7377.44056025994,135542.75,0.05442888358292819
349,PE,VOC,1996,10352.3577731403,135542.75,0.07637706755352315
350,AB,NH3,1997,126274.333185743,2822523.0,0.04473810600861109
351,AB,CO,1997,1747506.53522988,2822523.0,0.6191292454410043
352,AB,SOX,1997,522989.264001654,2822523.0,0.18529140914056466
353,AB,NOX,1997,815873.317241737,2822523.0,0.28905816435924064
354,AB,VOC,1997,678362.261827271,2822523.0,0.24033896688433398
355,BC,NH3,1997,24261.030715911,3939701.5,0.006158088554655982
356,BC,CO,1997,2027978.9638128,3939701.5,0.5147544715793315
357,BC,SOX,1997,82107.3215675099,3939701.5,0.020841000661473947
358,BC,NOX,1997,316168.481311414,3939701.5,0.08025188743650095
359,BC,VOC,1997,354883.302639578,3939701.5,0.09007872871576134
360,ON,NH3,1997,109043.284612472,11208193.25,0.009728890480405662
361,ON,CO,1997,3172562.73411307,11208193.25,0.2830574619252813
362,ON,SOX,1997,597581.83909303,11208193.25,0.05331651817236734
363,ON,NOX,1997,673575.304626051,11208193.25,0.060096689056110895
364,ON,VOC,1997,805333.822897765,11208193.25,0.07185224281333345
365,MB,NH3,1997,51391.9282514993,1135655.0,0.04525311670489656
366,MB,CO,1997,342651.545405868,1135655.0,0.30172151349297804
367,MB,SOX,1997,363010.75366499,1135655.0,0.3196487962145106
368,MB,NOX,1997,73438.9717528475,1135655.0,0.06466662124751575
369,MB,VOC,1997,91510.0314075009,1135655.0,0.08057907675086262
370,NB,NH3,1997,5089.9484814223,752385.0,0.006765085004914106
371,NB,CO,1997,295285.048192406,752385.0,0.39246535775222263
372,NB,SOX,1997,118975.159133521,752385.0,0.15813068991742393
373,NB,NOX,1997,74847.4350654717,752385.0,0.09948023294652565
374,NB,VOC,1997,78355.6506392085,752385.0,0.10414302602950418
375,NS,NH3,1997,4936.64604666583,932329.5,0.005294958538441431
376,NS,CO,1997,274817.876936909,932329.5,0.2947647553111952
377,NS,SOX,1997,194490.762124356,932329.5,0.20860732404622614
378,NS,NOX,1997,87735.0556655626,932329.5,0.09410305655410732
379,NS,VOC,1997,68066.7654768087,932329.5,0.07300719914666295
380,QC,NH3,1997,68419.097981244,7272061.75,0.009408486937180369
381,QC,CO,1997,2077048.84503501,7272061.75,0.2856203531323163
382,QC,SOX,1997,356111.918043543,7272061.75,0.04896986993317858
383,QC,NOX,1997,345143.514116164,7272061.75,0.0474615763701627
384,QC,VOC,1997,475360.785720039,7272061.75,0.06536808982955061
385,SK,NH3,1997,75002.5798087229,1017834.25,0.07368840241790145
386,SK,CO,1997,507239.875414579,1017834.25,0.4983521387834797
387,SK,SOX,1997,134862.082805191,1017834.25,0.1324990614190778
388,SK,NOX,1997,186118.327350553,1017834.25,0.1828572062205148
389,SK,VOC,1997,248207.76407891,1017834.25,0.24385872658432353
390,NL,NH3,1997,1049.34313976404,551774.25,0.001901761707372245
391,NL,CO,1997,158971.938682483,551774.25,0.2881104703281877
392,NL,SOX,1997,75170.1503788735,551774.25,0.13623352372618602
